Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0418~Kinase	139	2.43432574430823	0.05233067773265	SM_B21184, SM_B21462, SMC00618, SM_B20497, SM_B21224, SM_B20933, SMC03164, SMC02470, SMC02753, SMC00695, SMC01267, SMC02875, SMC00059, SMC00334, SMC02752, SMA1696, SMC00577, SMC02756, SMC01716, SMC00909, SM_B20149, SM_B21119, SMC02880, SMC02367, SMC04305, SMC00862, SMC00465, SMC00347, SM_B21070, SMC02249, SMA1684, SM_B21560, SM_B20077, SM_B21201, SMA0705, SM_B20356, SMC04084, SMC02172, SMC02334, SMA2327, SMA0028, SMC02335, SMC02736, SMA0939, SM_B20489, SM_B20767, SMC02341, SMC02585, SMC01531, SMC04005, SMA1229, SMC00322, SM_B21170, SMC01507, SM_B21546, SM_B20852, SM_B20612, SMC03094, SM_B20218, SMC02790, SMC02793, SMC04212, SM_B20609, SMC03003, SMC04213, SMA2063, SMA0204, SMC00892, SMC01189, SMC03007, SMC02314, SMC01103, SMC00776, SMC01623, SMC00017, SMC02835, SMC02438, SMC01228, SMC01503, SMC03817, SMC00946, SMA1406, SM_B20465, SM_B20623, SM_B20868, SMA0670, SMC02562, SMC02164, SMC02167, SMC01595, SMC03138, SMC03776, SMC02567, SMC02686, SMC00025, SMC02846, SM_B21270, SMA1521, SMC01726, SM_B20394, SMC00519, SM_B20670, SM_B20312, SM_B21005, SM_B20314, SM_B21009, SMC03981, SMC02099, SMC00471, SMC01042, SMC00473, SMC01165, SMC00595, SMC01442, SMC01288, SMA1558, SMC03109, SMC02659, SMC03867, SMC00527, SM_B21373, SMC01618, SMA0857, SM_B20164, SM_B21374, SM_B20201, SM_B20721, SM_B20962, SMC02382, SMC00086, SMC01331, SMA0172, SMC02147, SMC00881, SMC01852, SMC02148, SMC04446, SMC00129, SMA0697	2172	147	2419	1.05310945741096	0.955731411541403	1	1
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	423	7.40805604203152	0.090666063786467	SMC01429, SM_B20493, SM_B20130, SM_B20492, SM_B20132, SM_B20131, SM_B21341, SM_B20013, SM_B20496, SM_B20012, SM_B21348, SMC02870, SMC00572, SMA1216, SMC01662, SMA0007, SMA1459, SMC01667, SMC02637, SMC03968, SMA1214, SMA1213, SMC02649, SM_B20262, SM_B20261, SM_B21111, SM_B21474, SM_B21110, SM_B21355, SM_B21597, SM_B20147, SM_B20388, SM_B20267, SM_B20146, SMC00460, SMC00580, SMC00340, SMC02885, SMC00101, SMC02522, SMC02641, SMC00105, SMC00588, SMC02524, SMC00106, SMC02525, SMC02979, SM_B21202, SMC00553, SMA0265, SMC00797, SMC02612, SMA1236, SMA0389, SM_B21691, SM_B21570, SM_B20246, SM_B20003, SM_B21337, SM_B20007, SMA0130, SMA0374, SMC01772, SMC03950, SMC00326, SMC01415, SMA1538, SM_B20692, SM_B20573, SM_B20210, SM_B20456, SM_B20577, SM_B20214, SMC00372, SMC01582, SMC01460, SMC02791, SMC00010, SMC00013, SMC00375, SMC02677, SMC00133, SMA0325, SMC00136, SMA1536, SMC01227, SMC00379, SMC00016, SMC03888, SMA1896, SMA1532, SM_B20581, SM_B20583, SMA1406, SM_B20343, SMA1529, SM_B20342, SM_B20100, SM_B20103, SM_B21557, SM_B21556, SM_B21558, SMC00264, SMA1403, SMC03777, SMC02322, SMC00268, SMC01359, SMA0793, SMC01237, SMA1400, SMC01329, SM_B21640, SM_B20433, SM_B20679, SM_B20678, SM_B21639, SMA0340, SMA0220, SMC02650, SMC02771, SMC00110, SMC01564, SMC02775, SMC01442, SMC00115, SMC01204, SMC00117, SMC00009, SM_B20206, SM_B21415, SM_B20208, SM_B21539, SM_B21529, SMC01571, SMC02781, SMA0335, SMA1545, SMC00246, SMC01698, SMC01214, SMC01455, SMC01576, SMC00005, SMA1544, SMC02307, SMC02428, SMC03878, SM_B20772, SM_B20899, SM_B20535, SMC00290, SMC00051, SM_B20409, SMC04410, SMC03200, SMC00052, SMC00054, SMC02599, SMA0765, SMC01145, SMC02479, SMC02597, SMC03202, SMA0766, SMC01148, SMC02116, SMA0767, SMA0404, SMC03208, SMC02239, SMA1850, SMA0400, SMA1846, SM_B20662, SM_B21632, SM_B21635, SM_B21636, SMC00180, SMC01030, SMC03211, SMC01031, SMC02486, SMC00187, SMC02122, SMC01157, SMA0512, SMC02245, SMC02124, SMA0513, SMC01159, SMC00069, SMC04308, SMA0873, SMA0751, SMA0510, SMA1516, SM_B20750, SM_B20871, SM_B20991, SM_B20993, SM_B20511, SM_B20877, SMC01122, SMC00274, SMC02336, SMC01126, SMA1871, SMC02579, SMA1869, SMA1629, SM_B20402, SMC04400, SMC00165, SMC01012, SMC00043, SMC00164, SMC02466, SMC00166, SMC00287, SMC00169, SMA1503, SMC02467, SMC02349, SMC02469, SMC02227, SMC04405, SMA1935, SM_B20978, SMC00093, SMC02271, SMC02150, SMC00092, SMC00094, SMC04452, SMC02034, SMC02037, SMC02038, SM_B20860, SM_B20986, SMC02282, SM_B20616, SMC04462, SMC02041, SMC03132, SMC02045, SMC04346, SMC02049, SM_B20710, SMC01281, SMC03101, SMC02253, SMC03102, SMC03105, SMC03103, SMC02017, SMC04435, SMC03229, SMA0615, SM_B20964, SM_B20846, SMC02380, SMC00086, SMC04322, SMC01175, SMC04444, SMC01053, SMC03116, SMA0612, SMA0854, SMC04252, SMC04253, SMC03161, SMC04139, SMC04138, SMC04391, SMC03181, SMC04270, SMC04390, SMC04384, SM_B20819, SMC04389, SMC04266, SMC03059, SMC04149, SMA0827, SMA0825, SMA5031, SMA0817, SMC00819, SMC01907, SMC03093, SMC03086, SMC04054, SMC04056, SMC01913, SMC01912, SMC01915, SMC01914, SMC01917, SMC01918, SMC00943, SMC00914, SMC03193, SMC03070, SMC03185, SMC04151, SMC03189, SMC00805, SMC04291, SMC04165, SMC04049, SMA1296, SMC01944, SMC00733, SMC01956, SMC00982, SMC00985, SMC01924, SM_B20073, SMC01923, SMC01926, SMC01925, SM_B21287, SM_B20198, SMC01927, SM_B20076, SMC01920, SMC01801, SMC00833, SMC01921, SMC01800, SMC00832, SMC01814, SMC00603, SMC00727, SMC01816, SMC00968, SMC01815, SMA1191, SMA1182, SM_B20080, SM_B21290, SMC02901, SMC01812, SMC01868, SMC00779, SMC01989, SMC03804, SMC02837, SM_B20173, SM_B21383, SM_B20054, SM_B21148, SM_B20179, SMA1250, SMA2349, SMC01982, SMC01984, SMC01500, SMC00410, SMA2223, SMC01985, SMC01501, SMC00778, SMC01987, SMA2225, SMC01638, SMC03938, SMC01879, SMC02608, SMC03939, SMC02605, SMC01639, SMC02606, SMC01518, SM_B21154, SM_B21159, SMA1483, SMC01991, SMC01990, SMC03930, SMC01993, SMC03810, SMC03931, SMC01992, SMC00300, SMC02845, SMC02604, SMC01754, SMA0398, SMC03932, SMC03812, SMC01635, SMC03933, SMC02723, SM_B21481, SM_B21121, SM_B21487, SM_B21489, SM_B20037, SM_B21368, SM_B20399, SM_B20278, SM_B21488, SMA1273, SMA1276, SMA0187, SMC01961, SMA1398, SMC00514, SMC01724, SMC02828, SM_B21010, SM_B20286, SMC01619, SMC00880, SMC00761, SMC01972, SMA1266, SMC01856, SM_B20280, SMC00524	2172	461	2419	1.02191668364473	0.995963944278032	1	1
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	617	10.8056042031524	0.093048164348153	SM_B21581, SM_B21462, SM_B21223, SM_B20497, SM_B20379, SM_B20019, SMA1450, SMC00690, SMC00571, SMC00450, SMC00574, SMC01784, SMC00453, SMC02753, SMC00695, SMC02875, SMC00334, SMC03840, SMC00333, SMC01785, SMC02752, SMA1696, SMC02757, SMC00577, SMC02758, SMC02877, SMC00579, SMC02756, SMC01426, SMC02408, SM_B21230, SM_B21235, SM_B20149, SM_B21119, SMA1683, SMC01790, SMC01551, SMC01793, SMC01430, SMC00462, SMC01792, SMC02880, SMC02764, SMC01431, SMC01797, SMC01796, SMC00586, SMC00465, SMC00347, SMC03978, SMA1684, SMC00225, SMC01435, SMA0233, SMC01317, SMC03855, SMC02645, SMC01316, SMC01437, SMC01407, SMC01769, SMC01406, SM_B21560, SM_B21320, SM_B21322, SM_B21201, SM_B21321, SM_B20356, SM_B21324, SM_B20357, SM_B21449, SM_B21328, SM_B21448, SM_B20117, SM_B20238, SMC01881, SMC02610, SMC00552, SMA2327, SMA0028, SMC01764, SMC02850, SMC00677, SMA0387, SMC02736, SMA1478, SMC03943, SM_B20482, SM_B20240, SM_B20481, SM_B21690, SMC03959, SM_B20242, SM_B21573, SMA2319, SM_B20243, SM_B20489, SM_B20005, SMA0011, SMC01770, SMC01773, SMC03831, SMC01531, SMC01775, SMA1229, SMC02982, SMC00322, SMC00325, SMC01777, SMC00324, SMC01534, SMC00327, SMC02865, SMC00689, SMC01109, SM_B21546, SM_B21304, SM_B21427, SM_B21308, SM_B20218, SMC02790, SMC00490, SMC01340, SMC03882, SMC02793, SMC01463, SMC01221, SMC01100, SMC01462, SMC01220, SMC00134, SMA0204, SMC01222, SMC01346, SMC03884, SMC02314, SMC03885, SMC01103, SMC00017, SMC02437, SMC02799, SMC01229, SMC01108, SMC01349, SMC02438, SMC01228, SM_B20460, SMA1406, SMA1409, SM_B20585, SM_B21311, SM_B21552, SM_B20587, SM_B21313, SM_B20465, SM_B21433, SM_B21312, SM_B20589, SM_B20588, SM_B21318, SMA0670, SMC02683, SMC00383, SMC01472, SMC02562, SMC00262, SMC02440, SMC01350, SMC03773, SMC01595, SMC02681, SMC01353, SMC00143, SMC01111, SMC01352, SMC00021, SMC00387, SMC03776, SMC02444, SMC02567, SMC03774, SMC01115, SMC02686, SMC00025, SMC02445, SMC01238, SMC01117, SMA1761, SMC00269, SMC01116, SMA1521, SMC01118, SMC01209, SM_B20670, SM_B20312, SM_B20314, SM_B21525, SMC03981, SMC00471, SMC03861, SMC00352, SMC00594, SMC00473, SMC00231, SMC00230, SMC02896, SMC01443, SMC02654, SMC00595, SMC01442, SMC00232, SMC01200, SMC00235, SMC01203, SMC02413, SMA1558, SMC01565, SMC01444, SMC01568, SMC00358, SMA2400, SMA1552, SMC00599, SMC02659, SMC02898, SMC01207, SMC01327, SMC03867, SMC00238, SMC01206, SMC01219, SM_B20563, SM_B20200, SM_B21530, SM_B20201, SM_B21532, SM_B20687, SM_B20448, SM_B21416, SM_B21418, SMC00482, SMC01331, SMC01452, SMC02660, SMC03996, SMC00122, SMC01334, SMA1547, SMC03879, SMC02305, SMC01578, SMA0695, SMC00247, SMC02546, SMC00129, SMC02789, SMA0697, SM_B21500, SM_B21502, SMC02470, SMC00294, SMC01141, SMC01144, SMC00296, SMC01267, SMC02113, SMC01145, SMC00059, SMC01027, SMC02598, SMC03203, SMC01268, SMA1968, SM_B20420, SMA1969, SM_B20423, SM_B21514, SM_B21516, SMC01032, SMC02483, SMC01155, SMC02367, SMC04305, SMC01156, SMA1963, SMC04302, SMC02368, SMC01037, SMC02249, SM_B20755, SM_B20515, SM_B20748, SMC01360, SMC00150, SMC00270, SMC00394, SMC02450, SMC03781, SMC02698, SMC02334, SMC01124, SMC03788, SMC00155, SMC02576, SMC00036, SMC02335, SMC02217, SMC01127, SM_B20761, SM_B20760, SM_B20765, SM_B20767, SMC02581, SMC01373, SMC00042, SMC02341, SMC01131, SMC02585, SMC01130, SMC01375, SMC01374, SMC02342, SMC00169, SMC02105, SMC00168, SMC02228, SMC01139, SMC00049, SMA0892, SMA0772, SMC01259, SMC01017, SM_B20973, SM_B20852, SM_B20612, SMC01190, SMC03241, SMC04451, SMC04330, SMC02270, SMC02273, SMC02393, SMC02272, SMC04212, SMC00097, SMC04455, SM_B20609, SMC04213, SMC03003, SMC02276, SMC02158, SMC03007, SMC02157, SMC01189, SMC04214, SMC02159, SMC03009, SM_B20623, SM_B20868, SM_B20617, SM_B20619, SM_B20618, SMC04460, SMC02165, SMC02164, SMC04221, SMC04342, SMC02167, SMC03138, SMC02047, SMA0869, SM_B20954, SM_B20956, SMC02490, SM_B20704, SM_B20946, SMC02251, SMC01162, SM_B20948, SMC02495, SMC00075, SMC01285, SM_B20708, SMC00195, SMC01042, SMC02134, SMC01166, SMC02375, SMC01165, SMC01047, SMC01288, SMA0866, SMC02138, SMC03104, SMC02137, SMC03109, SMC03107, SMA0857, SM_B20960, SM_B20721, SM_B20962, SMC02390, SMC00091, SMC00090, SM_B20958, SMC01171, SM_B20957, SMC02383, SMC02262, SMC02382, SM_B20959, SMC01172, SMC00086, SMC03112, SMC04323, SMC02384, SMC02263, SMC01053, SMC03231, SMC04442, SMC04321, SMA0853, SMC04326, SMC02147, SMA0855, SMC04446, SMC03236, SMC02148, SMA0851, SM_B20810, SM_B20933, SM_B20803, SM_B20806, SM_B20805, SM_B20807, SMC02076, SMC04013, SMC04016, SMC00902, SMC00906, SMC00909, SM_B20821, SM_B20824, SMC02093, SMC02083, SMC04141, SMC04388, SMC04267, SMC03058, SMC02087, SMC04386, SMC04023, SMC02089, SMC04148, SMA0705, SMC02172, SMC02053, SMC02055, SMC03143, SMA1905, SMA0939, SMC04241, SMC04121, SMC04360, SMC03151, SMC04122, SMC04123, SMC04005, SMC03094, SMC03085, SMA2063, SMC00811, SMC00945, SMC00826, SMC00946, SMC00709, SMC04185, SMA2294, SMC00911, SMC00918, SMC00917, SMC03190, SMC03191, SMC04275, SMC02097, SMC04273, SMC02096, SMC04399, SMC02099, SMC03187, SM_B21082, SMC00925, SMC00924, SMC00805, SMC03194, SMC04284, SM_B21092, SM_B20095, SMC01704, SM_B21184, SM_B21062, SMC00614, SMC01824, SM_B21186, SM_B20099, SM_B21188, SM_B21066, SMC00739, SM_B21068, SM_B21189, SMC00974, SMC00973, SMC00731, SM_B21061, SM_B21182, SM_B21076, SMC01716, SM_B21078, SMC00860, SMC00862, SM_B21070, SMC02802, SMC00984, SMC00742, SM_B21190, SMC00865, SMC00502, SMC00714, SM_B20077, SMC01809, SMC00719, SM_B21167, SMC04084, SMC04081, SMC00710, SMC02905, SMC00966, SM_B21054, SM_B21053, SMC00608, SM_B21297, SM_B21178, SMC04088, SMA1188, SMA0093, SMC00601, SM_B21170, SMC00659, SMC01507, SM_B21265, SM_B21264, SM_B20059, SMA1495, SMC01860, SMC00892, SMC01863, SMC00894, SMC01623, SMC00534, SMC00776, SMC03923, SMA1497, SMC02835, SMC00533, SMC03924, SMA0168, SMC00415, SMC01866, SMC03922, SMC00656, SMA0169, SMC01503, SMC00414, SMC03817, SM_B21271, SM_B21153, SMC02841, SMC00421, SMC02846, SM_B21270, SMC02601, SMC01726, SM_B20391, SM_B20394, SM_B21240, SMC01969, SM_B21122, SMC01609, SMC00519, SM_B20277, SM_B21005, SM_B21246, SM_B21249, SM_B20039, SM_B21009, SMC01962, SMC02813, SMC01858, SMC00527, SMC02707, SM_B21252, SMC01618, SMC00529, SM_B21373, SMC00649, SMC00407, SM_B20164, SM_B20043, SM_B21374, SMC02708, SMA0172, SMC00640, SMC00881, SMC00886, SMC01732, SMC02700, SMC01976	2172	676	2419	1.01651669445443	0.996533549521464	1	1
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	ACT_SITE:Proton acceptor	96	1.68126094570928	8.40E-04	SMC00815, SM_B20173, SM_B20371, SM_B20850, SMC03094, SMC00093, SMA1450, SMC03164, SMC00094, SMC04410, SMC04213, SMC02791, SMC01023, SMC02792, SMC01740, SMC03204, SMC01146, SMC00453, SMC02311, SMC01343, SMC02479, SMC04214, SMC01103, SMC00894, SMC00333, SMA0404, SMC03208, SMC01028, SMC00811, SM_B20268, SM_B20589, SM_B20821, SM_B20942, SMC02093, SMC04262, SMC02640, SMC01111, SMC00068, SMC02487, SMC01035, SMC02765, SMA0398, SMC03856, SMC01407, SM_B20270, SM_B20195, SM_B21042, SMA0868, SM_B20198, SM_B21121, SM_B21325, SM_B20753, SM_B21248, SM_B21648, SMC03070, SMC02570, SMC02097, SMC00152, SMC01881, SMC00154, SMC00232, SMC01126, SMC00996, SMC00511, SMC02736, SMC03229, SMC01206, SMC00768, SM_B21010, SMC00608, SMC02581, SMC01492, SMC01096, SMC03195, SMC01053, SMC01331, SMC03154, SMC00880, SMC04045, SMC03798, SMC03831, SMC00683, SMC04247, SMC00488, SMC00169, SMC01852, SMA0854, SMC03879, SMC03835, SMC02228, SMC00005, SMC00643, SMC02307, SMC01614, SMC00326, SMC03878	3668	100	4346	1.13744820065431	0.770755026233566	0.965916044260491	0.965916044260491
UP_SEQ_FEATURE	METAL:Magnesium	65	1.13835376532399	0.001102643886142	SM_B21184, SMC00339, SMC02715, SMC00618, SMC03094, SM_B20649, SMC00695, SMC02797, SMC01146, SMC00453, SMC01025, SMC03967, SMC01028, SMC00459, SMC00945, SMC00900, SM_B20581, SMA1209, SMC02480, SM_B20938, SMA2331, SMC00143, SMC02560, SMC03775, SMC02686, SMC00025, SMC00621, SMC01316, SMC00637, SMA0708, SM_B20198, SMC02097, SMC00393, SMC00151, SMC01881, SMC02654, SMC00232, SMA0028, SMC02652, SMC01049, SMC01521, SMC01004, SMC01722, SMA0981, SMC00768, SM_B21651, SM_B20200, SM_B21578, SMC02581, SMA1188, SMC01373, SMC04881, SMC04045, SMC03793, SMC00365, SMA1227, SMC04008, SMC00366, SMC00324, SMC00687, SMA0453, SMC00643, SMC04405, SMC01932, SMC02987	3668	66	4346	1.16688972605003	0.855271822454656	0.965916044260491	0.965916044260491
UP_SEQ_FEATURE	NP_BIND:ATP	253	4.430823117338	0.003337095177285	SMC02519, SM_B20370, SM_B21460, SMC02518, SMA0803, SM_B21344, SM_B21588, SM_B21466, SM_B21224, SM_B21106, SM_B20017, SM_B20930, SM_B20813, SMC04256, SMC00695, SMC00453, SMC00334, SMC00577, SMC03847, SMC03965, SMA0124, SM_B20380, SM_B20141, SM_B21592, SM_B20266, SM_B20941, SM_B20940, SMC04140, SM_B20937, SMC03974, SMC01435, SMC03828, SMC01528, SMC02739, SMC03826, SMC01529, SM_B20351, SMA0825, SM_B20111, SM_B20235, SM_B21566, SM_B20479, SM_B20478, SM_B21206, SMC04351, SMC04231, SM_B20904, SMC00790, SMC03025, SMC00550, SMC01880, SMC00670, SMA0028, SMA2207, SMC01645, SMC02736, SMC02508, SMC03837, SM_B20481, SM_B20363, SM_B20002, SM_B20485, SMA0815, SM_B20124, SM_B21216, SMC02064, SMC02068, SMC04002, SMC04244, SMC02863, SMC02501, SMC03159, SMC04127, SMA1344, SMA1345, SMA1466, SMC01904, SMC01905, SM_B21422, SM_B21429, SMC02790, SMA2067, SMC02796, SMC01103, SMC02438, SMC00948, SM_B21316, SMC02562, SMC03894, SMC03776, SMC02567, SMA1647, SMC02325, SMA1646, SMC02686, SMC01235, SMC01209, SMC00913, SM_B20673, SM_B21644, SM_B21527, SMC03065, SMC04393, SMC00590, SMC04036, SMC03981, SMC02099, SMC02773, SMC03866, SMA1434, SM_B21096, SM_B20201, SMA2081, SM_B20569, SM_B20328, SMA2079, SMC03871, SMC03198, SMC03991, SMC04288, SMC02424, SMC00245, SMC02423, SMA1421, SMC01215, SM_B21184, SMC01948, SMA0526, SMC01949, SMA2385, SM_B20649, SMA0083, SMC00175, SMC02474, SMC01025, SMC02358, SMC02357, SMC01823, SM_B21199, SM_B20661, SM_B20785, SM_B20784, SM_B20427, SMC02480, SM_B20419, SMC00185, SMC04300, SMC02121, SMA0072, SMC00186, SMC00862, SM_B21191, SM_B21040, SMC00717, SM_B20630, SM_B21605, SM_B20507, SMC00394, SMC02695, SMC01121, SMC02577, SMC01125, SMC02337, SMA1509, SM_B20763, SM_B20764, SMC04093, SMC00161, SMA1184, SMC01376, SMA1864, SMC02587, SMC02346, SMC01499, SMC01018, SMC00962, SMC01138, SMA1741, SM_B21170, SMC00659, SM_B21260, SMC02836, SMC00419, SMC03808, SM_B21146, SM_B20972, SM_B20058, SM_B20855, SM_B20613, SMC04451, SMC03120, SMC04454, SMC02032, SMC01980, SMA1370, SMC01861, SMC04458, SMC00892, SMC04459, SMC01189, SMC00774, SMC00531, SMC01862, SMC01864, SMC02835, SMC01867, SMC01625, SMC01624, SMC04219, SM_B20183, SMC01758, SM_B20184, SM_B21152, SM_B20622, SM_B20503, SMA2331, SMC03135, SMA0270, SMA0391, SMC01871, SMC01510, SMC00789, SMA0036, SMC01756, SMC01608, SM_B20156, SM_B21009, SM_B20832, SM_B20713, SMA2365, SMC01043, SMC02499, SMC01288, SMA0744, SMC00993, SMC00876, SMC01965, SMC00527, SM_B20281, SM_B21130, SMA0857, SMC02829, SM_B21376, SM_B20961, SM_B21138, SM_B20602, SMC02020, SM_B20718, SMC02142, SMC02940, SMC02027, SMC04207, SMC03119	3668	280	4346	1.07058926624085	0.997138381264726	1	1
UP_SEQ_FEATURE	BINDING:ATP	46	0.805604203152364	0.003717109327309	SMC01209, SM_B21184, SMC00913, SMC00618, SM_B21566, SMC02080, SM_B21009, SM_B20649, SMC02551, SMC03981, SMC02099, SMC00695, SMC04458, SMC02577, SMC00453, SMC01025, SMC00595, SMA0028, SMC01288, SMA0744, SMC00774, SMC01103, SMC02796, SMA0124, SMC02438, SMC02613, SMC00526, SMC01758, SMC02804, SMC00948, SMC00908, SMC04093, SMC02480, SMC01192, SMC00161, SMC03172, SMA2331, SMC02562, SMC04002, SMC03776, SMC00488, SMC03895, SMC00025, SMC01018, SMC00984, SMC01756	3668	46	4346	1.18484187568157	0.998532961043359	1	1
UP_SEQ_FEATURE	BINDING:Substrate	118	2.06654991243433	0.013311512293711	SMC01429, SM_B21184, SMC00293, SMC04251, SMC04410, SMC01780, SMC01023, SMC00695, SMC01146, SMC00298, SMC02479, SMA0404, SMC02878, SMA2025, SMC01820, SMC01028, SMC02755, SMC01837, SM_B20268, SM_B20146, SM_B21631, SM_B20942, SMC00180, SM_B20938, SMC04262, SMC00580, SMC00461, SMC00101, SMC00068, SMC03974, SMC02245, SMC02641, SMC00069, SMC01952, SMC03856, SM_B21285, SM_B20195, SM_B20198, SM_B21166, SM_B20872, SM_B20757, SMC00152, SMC02450, SMC01800, SMC00557, SMC03160, SMC04120, SMC03793, SMC01770, SMC01099, SMC03798, SMC00683, SMC01772, SMC04405, SMC00723, SMC02838, SMA1935, SM_B20850, SM_B21304, SM_B20615, SMC03002, SMC01740, SMC01343, SMC02038, SMC01103, SMC00412, SMC00016, SMC01108, SMC02438, SMC02562, SMC02166, SMC03776, SMC03895, SMC04346, SMC00025, SMC00943, SMC01209, SMC01726, SM_B20270, SM_B21002, SM_B21648, SM_B21009, SMC03070, SMC02097, SMA0340, SMC03981, SMC02253, SMC00472, SMC03105, SMA0228, SMC01565, SMC01169, SMC03104, SMC00996, SMC00511, SMC00599, SMC03229, SMC01206, SMC00768, SM_B21010, SM_B20200, SM_B20202, SM_B21539, SMC00480, SMC04289, SMC00880, SMC00486, SMC00882, SMC00488, SMC03994, SMC01852, SMA0854, SMC01732, SMC03239, SMC02307, SMC01614, SMC00008, SMC03878	3668	128	4346	1.09227610414395	0.999999999936398	1	1
UP_SEQ_FEATURE	NP_BIND:NAD	36	0.630472854640981	0.016612123116732	SMC00815, SMC02837, SM_B21163, SM_B21648, SMC02181, SMC00094, SMC00154, SMC03204, SMC01564, SMC02798, SMC02479, SMC00696, SMC02038, SMC01169, SMC02755, SMC03229, SMC01638, SM_B21010, SMC00727, SMC01717, SMC01918, SM_B21539, SMC01331, SMC00880, SMC00781, SMC01035, SMC02487, SMA0854, SMA1525, SMC00300, SMC01656, SMC00005, SMC03979, SMC01878, SMC04405, SMC00326	3668	36	4346	1.18484187568157	0.999999999999821	1	1
UP_SEQ_FEATURE	ACT_SITE:Nucleophile	41	0.718038528896672	0.029946987259437	SMC00659, SMC01903, SM_B21447, SM_B21304, SM_B20932, SMC04282, SM_B20955, SMC04033, SMC00094, SMC00493, SMC00394, SMC00151, SMC02450, SMC02572, SMC00472, SMC00554, SMC03841, SMC01444, SMC00974, SMC01206, SMC01569, SMC03922, SMC00117, SM_B20462, SMC02708, SMC04090, SMC03160, SM_B21539, SMC01492, SMC01111, SMC01099, SMC00321, SMC02720, SMC02245, SMC02641, SMC00127, SMC04309, SMC03979, SMC00403, SMC02547, SMA1587	3668	42	4346	1.15663135483201	1	1	1
UP_SEQ_FEATURE	BINDING:NAD	30	0.525394045534151	0.039631443725143	SMC00815, SMC02837, SM_B21163, SMA1935, SMA0340, SMC00094, SMC03204, SMC01564, SMC02479, SMC00696, SMC02038, SMA0228, SMC01169, SMC02755, SMC03229, SMC00727, SM_B21539, SMC01331, SMC00781, SMC01035, SMC02487, SMC02641, SMC00169, SMC01656, SMC00005, SMC03979, SMC01878, SMC00943, SMC02307, SMC00326	3668	30	4346	1.18484187568157	1	1	1
